Scheme_Name	Asset_Value
INF209KA13Z9	Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
-	Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW
-	Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW
INF209KA11Z3	Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW
-	Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW
-	Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW
-	Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW
-	Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW
-	Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth
-	Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth
-	Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth
-	Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option
INF846K01CU0	Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW
-	Axis Banking & PSU Debt Fund - Direct Plan - Growth Option
INF846K01CS4	Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW
INF846K01CW6	Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW
-	Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option
INF846K01CC8	Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW
-	Axis Banking & PSU Debt Fund - Regular Plan - Growth option
INF846K01CG9	Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW
INF846K01CE4	Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW
INF0QA701631	Bajaj Finserv Banking and PSU Fund-  Direct Plan-Monthly- IDCW
INF0QA701623	Bajaj Finserv Banking and PSU Fund- Direct Plan- IDCW
-	Bajaj Finserv Banking and PSU Fund- Regular Plan- Growth
INF0QA701573	Bajaj Finserv Banking and PSU Fund- Regular Plan- IDCW
-	Bajaj Finserv Banking and PSU Fund-Direct Plan- Growth
INF0QA701581	Bajaj Finserv Banking and PSU Fund-Regular Plan-Monthly-IDCW
-	BANDHAN Banking & PSU Debt Fund - Direct Annual IDCW
INF194KA1JD3	BANDHAN Banking & PSU Debt Fund - Direct Daily IDCW
INF194K010N5	BANDHAN Banking & PSU Debt Fund - Direct Fortnightly IDCW
-	BANDHAN Banking & PSU Debt Fund - Direct Growth
INF194K017G4	BANDHAN Banking & PSU Debt Fund - Direct IDCW
INF194K011N3	BANDHAN Banking & PSU Debt Fund - Direct Monthly IDCW
